Year,Rank,Name,Age,Exp,G,Rsh,RshYd,Y/Rsh,RshTD,Rec,RecYd,RecTD,FP/G,FantPt,Team
1999,122,Jon Witman,27.0,4.0,4,6,18,3.0,0,4,12,0,1.8,7.0,PIT
1999,123,Amos Zereoue,23.0,1.0,2,17,46,2.7,0,1,14,0,3.5,7.0,PIT
1999,124,Dino Philyaw,29.0,5.0,3,4,16,4.0,0,2,23,0,2.0,5.9,NO
1999,125,Robert Chancey,27.0,3.0,1,14,57,4.1,0,0,0,0,5.7,5.7,DAL
1999,126,Chris Howard,24.0,2.0,4,13,55,4.2,0,0,0,0,1.4,5.5,JAX
1999,127,Winslow Oliver,26.0,4.0,5,8,32,4.0,0,1,10,0,1.0,5.2,ATL
1999,128,Chris Floyd,24.0,2.0,4,5,10,2.0,0,2,16,0,1.2,4.6,NE
1999,129,Detron Smith,25.0,4.0,1,1,7,7.0,0,2,16,0,4.3,4.3,DEN
1999,130,Stacey Mack,24.0,1.0,2,7,40,5.7,0,0,0,0,2.0,4.0,JAX
1999,131,Cecil Martin,24.0,1.0,3,3,3,1.0,0,3,6,0,1.3,3.9,PHI
1999,132,Lennox Gordon,21.0,1.0,3,11,38,3.5,0,0,0,0,1.3,3.8,BUF
1999,133,James Bostic,27.0,2.0,4,5,19,3.8,0,1,6,0,0.9,3.5,PHI
1999,134,Brock Olivo,23.0,2.0,1,1,1,1.0,0,2,14,0,3.5,3.5,DET
1999,135,Brian Milne,26.0,4.0,1,3,30,10.0,0,0,0,0,3.0,3.0,CIN
1999,136,Daimon Shelton,27.0,3.0,1,1,2,2.0,0,1,11,0,2.3,2.3,JAX
1999,137,Edwin Watson,23.0,1.0,2,4,17,4.3,0,0,0,0,0.8,1.7,PHI
1999,138,George Jones,26.0,3.0,3,8,15,1.9,0,0,0,0,0.5,1.5,CLE
1999,139,Rabih Abdullah,24.0,1.0,2,5,12,2.4,0,0,0,0,0.6,1.2,TB
1999,140,Chris Hetherington,27.0,4.0,1,2,7,3.5,0,0,0,0,0.7,0.7,CAR
1999,141,Jerald Sowell,25.0,3.0,1,3,5,1.7,0,0,0,0,0.5,0.5,NYJ
1999,142,Amp Lee,28.0,8.0,1,3,3,1.0,0,0,0,0,0.3,0.3,STL
1999,143,Leon Johnson,25.0,3.0,1,1,2,2.0,0,0,0,0,0.2,0.2,NYJ
1999,144,Anthony Lynn,31.0,7.0,2,2,2,1.0,0,0,0,0,0.1,0.2,DEN
1999,145,Rashaan Salaam,25.0,5.0,1,1,2,2.0,0,0,0,0,0.2,0.2,CLE
1999,146,Harold Morrow,26.0,2.0,1,2,1,0.5,0,0,0,0,0.1,0.1,MIN
1999,147,Greg Comella,24.0,2.0,1,1,0,0.0,0,0,0,0,0.0,0.0,NYG
1999,148,Mack Strong,28.0,6.0,1,1,0,0.0,0,0,0,0,0.0,0.0,SEA
2000,1,Marshall Faulk,27.0,7.0,14,253,1359,5.4,18,81,830,8,32.6,455.9,STL
2000,2,Edgerrin James,22.0,2.0,16,387,1709,4.4,13,63,594,5,25.1,401.3,IND
2000,3,Eddie George,27.0,5.0,16,404,1507,3.7,14,50,453,2,21.4,342.0,TEN
2000,4,Ahman Green,23.0,3.0,16,263,1175,4.5,10,73,559,3,20.3,324.4,GB
2000,5,Charlie Garner,28.0,7.0,16,258,1142,4.4,7,68,647,3,19.2,306.9,SF
2000,6,Curtis Martin,27.0,6.0,16,316,1204,3.8,9,69,505,2,19.1,305.9,NYJ
2000,7,Ricky Watters,31.0,9.0,16,278,1242,4.5,7,63,613,2,18.9,302.5,SEA
2000,8,Tiki Barber,25.0,4.0,16,213,1006,4.7,8,70,719,1,18.5,296.5,NYG
2000,9,Fred Taylor,24.0,3.0,13,292,1399,4.8,12,36,240,2,21.8,283.9,JAX
2000,10,Robert Smith,28.0,8.0,16,295,1521,5.2,7,36,348,3,17.7,282.9,MIN
2000,11,Mike Anderson,27.0,1.0,14,297,1500,5.1,15,23,169,0,20.0,279.9,DEN
2000,12,Stephen Davis,26.0,5.0,15,332,1318,4.0,11,33,313,0,17.5,262.1,WAS
2000,13,Lamar Smith,30.0,7.0,15,309,1139,3.7,14,31,201,2,17.4,261.0,MIA
2000,14,Warrick Dunn,25.0,4.0,16,248,1133,4.6,8,44,422,1,15.8,253.5,TB
2000,15,James Stewart,29.0,6.0,16,339,1184,3.5,10,32,287,1,15.3,245.1,DET
2000,16,Ricky Williams,23.0,2.0,10,248,1000,4.0,8,44,409,1,23.9,238.9,NO
2000,17,Michael Pittman,25.0,3.0,16,184,719,3.9,4,73,579,2,14.9,238.8,ARI
2000,18,Jamal Lewis,21.0,1.0,16,309,1364,4.4,6,27,296,0,14.3,229.0,BAL
2000,19,Corey Dillon,26.0,4.0,16,315,1435,4.6,7,18,158,0,13.7,219.3,CIN
2000,20,Jamal Anderson,28.0,7.0,16,282,1024,3.6,6,42,382,0,13.7,218.6,ATL
2000,21,Tony Richardson,29.0,6.0,16,147,697,4.7,3,58,468,3,13.2,210.5,KC
2000,22,Jerome Bettis,28.0,8.0,16,354,1330,3.8,8,14,108,0,12.9,205.8,PIT
2000,23,Tyrone Wheatley,28.0,6.0,14,232,1046,4.5,9,20,156,1,14.3,200.2,OAK
2000,24,James Allen,25.0,3.0,16,290,1120,3.9,2,39,291,1,12.4,198.1,CHI
2000,25,Emmitt Smith,31.0,11.0,16,294,1203,4.1,9,11,79,0,12.1,193.2,DAL
2000,26,Kevin Faulk,24.0,2.0,15,164,570,3.5,4,51,465,1,12.3,184.5,NE
2000,27,Travis Prentice,24.0,1.0,15,173,512,3.0,7,37,191,1,10.4,155.3,CLE
2000,28,Tim Biakabutuka,26.0,5.0,12,173,627,3.6,2,34,341,2,12.9,154.8,CAR
2000,29,Richie Anderson,29.0,8.0,12,27,63,2.3,0,66,648,2,12.4,149.1,NYJ
2000,30,Terrell Fletcher,27.0,6.0,15,116,384,3.3,3,48,355,1,9.7,145.9,SD
2000,31,Sammy Morris,23.0,1.0,12,93,341,3.7,5,37,268,1,11.2,133.9,BUF
2000,32,Shawn Bryson,24.0,1.0,16,161,591,3.7,0,32,271,2,8.1,130.2,BUF
2000,33,Priest Holmes,27.0,4.0,15,135,594,4.4,2,32,221,0,8.4,125.5,BAL
2000,34,Larry Centers,32.0,11.0,10,20,103,5.2,0,54,397,3,12.2,122.0,WAS
2000,35,Ron Dayne,22.0,1.0,15,225,771,3.4,5,3,11,0,7.4,111.2,NYG
2000,36,Chris Warren,32.0,11.0,12,74,296,4.0,2,32,303,1,9.2,109.9,
2000,37,Darnell Autry,24.0,4.0,10,112,334,3.0,3,24,275,1,10.9,108.9,PHI
2000,38,Fred Beasley,26.0,3.0,15,50,147,2.9,3,31,233,3,7.0,105.0,SF
